key,id,summary,status,issuetype,creator_name,assignee_name,created,updated,project_name,project_id,priority_name,priority_id,project_due_date,issue_url,today,days_old,year_updated,month_updated,year_created,month_created,last_updated_days,project_due_date_days,velocity,velocity_hours,velocity_days,target_end_date,bussiness_lead,planning_rank,portfolio_rank
DEVOPS-7655,165277,[DAC | Audio Licensing | Load/Delivery] Setup Amazon DataSync Delivery,Done,Story,Matt Osminer,Adam Shero,2025-05-20 10:30:27.323000-06:00,2025-05-23 07:05:02.282000-06:00,DevOps,13769,Urgent,1,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7655,2025-05-23 07:53:04.619681-06:00,2,2025,5,2025,5,0,-9275,2,68.5763775,2,2025-05-23 00:00:00+00:00,eric duell,,
DEVOPS-7651,165214,[DAC | Audio Licensing | Load/Delivery] Configure DataSync To Use Equinex,Done,Story,Adam Shero,Adam Shero,2025-05-19 09:37:52.323000-06:00,2025-05-22 15:35:32.749000-06:00,DevOps,13769,Urgent,1,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7651,2025-05-23 07:53:04.635412-06:00,3,2025,5,2025,5,0,-9274,3,77.96122944444444,3,2025-05-23 00:00:00+00:00,eric duell,,
DEVOPS-7529,164286,[Nonprod] (Audio Licensing Catalog) Setup AWS DataSync,Done,Story,Adam Shero,Adam Shero,2025-04-30 10:46:28.020000-06:00,2025-05-21 14:49:21.092000-06:00,DevOps,13769,Urgent,1,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7529,2025-05-23 07:53:04.646714-06:00,22,2025,5,2025,4,1,-9273,21,508.04807555555556,21,2025-05-16 00:00:00+00:00,eric duell,,
DEVOPS-6950,159755,[PE] Shut Down Core API Elastic Beanstalk Service,Blocked,Story,Aaron Schultheis,Adam Shero,2025-02-11 14:39:11.173000-07:00,2025-05-21 13:13:01.668000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6950,2025-05-23 07:53:04.657667-06:00,100,2025,5,2025,2,1,-9273,98,2373.5640263888886,98,,Victoria Benecke,,
DEVOPS-7270,161649,A2 user-token-shared nonprod: migrate RDS module,Done,Story,Simon Davison,Adam Shero,2025-03-25 11:16:55.966000-06:00,2025-05-15 16:18:44.815000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7270,2025-05-23 07:53:04.668184-06:00,58,2025,5,2025,3,7,-9267,51,1229.0302358333333,51,,Jorge Rodriguez,,
DEVOPS-7174,161023,[Nonprod] CoreV2 Elasticache Migration,Blocked,Story,Adam Shero,Adam Shero,2025-03-13 19:01:03.026000-06:00,2025-05-15 16:17:19.476000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7174,2025-05-23 07:53:04.678281-06:00,70,2025,5,2025,3,7,-9267,62,1509.2712361111112,62,,Jorge Rodriguez,,
DEVOPS-7373,162816,[Nonprod] Configure Kubeflow Templates Pipelines,On Hold,Story,Adam Shero,Adam Shero,2025-04-07 13:15:58.194000-06:00,2025-05-13 14:57:51.832000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7373,2025-05-23 07:53:04.688062-06:00,45,2025,5,2025,4,9,-9265,36,865.6982327777778,36,,Jorge Rodriguez,,
DEVOPS-7451,163678,RockSteady - QA configuration Updates,Done,Story,Bryan Harris,Adam Shero,2025-04-17 13:15:54.384000-06:00,2025-05-13 14:10:54.332000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7451,2025-05-23 07:53:04.697619-06:00,35,2025,5,2025,4,9,-9265,26,624.9166522222222,26,,Josh Currier,,
DEVOPS-7469,163812,[Nonprod] (Audio Licensing Catalog) Transfer Bucket Objects,Done,Story,Adam Shero,Adam Shero,2025-04-21 13:30:37.189000-06:00,2025-05-08 11:28:01.370000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7469,2025-05-23 07:53:04.706440-06:00,31,2025,5,2025,4,14,-9260,16,405.95671694444445,16,,eric duell,,
DEVOPS-7463,163806,[Nonprod] (Audio Licensing Catalog) Create GCS Buckets,Done,Story,Adam Shero,Adam Shero,2025-04-21 13:00:22.027000-06:00,2025-05-08 11:27:25.196000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7463,2025-05-23 07:53:04.715938-06:00,31,2025,5,2025,4,14,-9260,16,406.4508802777778,16,,eric duell,,
